ステージ,タイプ,スポーンx座標,スポーンy座標,サイズx,サイズy,素材データ
1,0,1713,2384,96,96,Data/savepoint.png
1,1,700,4000,64,64,Data/box.png
1,1,1618,2400,64,64,Data/box.png
1,2,1000,3400,320,64,Data/movingplatform.png
1,3,650,2775,320,64,Data/movingplatform.png
1,2,450,1500,320,64,Data/movingplatform.png
1,3,1300,870,320,64,Data/movingplatform.png
1,1,100,544,64,64,Data/box.png
2,0,150,3984,96,96,Data/savepoint.png
2,0,368,1680,96,96,Data/savepoint.png
2,3,1024,4008,320,64,Data/movingplatform.png
2,3,1022,3264,320,64,Data/movingplatform.png
2,4,240,3040,64,64,Data/spring.png
2,2,384,2500,320,64,Data/movingplatform.png
2,4,1312,2144,64,64,Data/spring.png
2,4,1696,2080,64,64,Data/spring.png
2,4,1824,2592,64,64,Data/spring.png
2,4,1504,2400,64,64,Data/spring.png
2,3,1242,1664,320,64,Data/movingplatform.png
2,4,288,1312,64,64,Data/spring.png
2,2,1728,802,320,64,Data/movingplatform.png
2,4,864,672,64,64,Data/spring.png
2,4,480,672,64,64,Data/spring.png
