ステージ,スポーンx座標,スポーンy座標,サイズ,素材データ
1,1800,3984,48,Data/piece.png
1,1085,3700,48,Data/piece.png
1,195,3500,48,Data/piece.png
1,1080,3400,48,Data/piece.png
1,920,3100,48,Data/piece.png
1,1680,3176,48,Data/piece.png
1,420,2936,48,Data/piece.png
1,500,2600,48,Data/piece.png
1,700,2600,48,Data/piece.png
1,1750,2190,48,Data/piece.png
1,1090,2000,48,Data/piece.png
1,650,1900,48,Data/piece.png
1,414,1600,48,Data/piece.png
1,159,1600,48,Data/piece.png
1,159,1510,48,Data/piece.png
1,850,1100,48,Data/piece.png
1,1766,1176,48,Data/piece.png
1,1513,930,48,Data/piece.png
1,1820,900,48,Data/piece.png
1,1100,834,48,Data/piece.png
1,1250,834,48,Data/piece.png
1,1400,834,48,Data/piece.png
1,182,704,48,Data/piece.png
1,104,290,48,Data/piece.png
1,832,300,48,Data/piece.png
1,1280,230,48,Data/piece.png
2,850,3972,48,Data/piece.png
2,950,3844,48,Data/piece.png
2,1050,3972,48,Data/piece.png
2,1150,3844,48,Data/piece.png
2,1888,3180,48,Data/piece.png
2,900,3100,48,Data/piece.png
2,1100,3100,48,Data/piece.png
2,224,2816,48,Data/piece.png
2,380,2300,48,Data/piece.png
2,380,2500,48,Data/piece.png
2,1824,2400,48,Data/piece.png
2,1824,2300,48,Data/piece.png
2,1824,2200,48,Data/piece.png
2,1400,1500,48,Data/piece.png
2,1100,1500,48,Data/piece.png
2,32,1512,48,Data/piece.png
2,96,1376,48,Data/piece.png
2,460,920,48,Data/piece.png
2,1630,900,48,Data/piece.png
2,1830,700,48,Data/piece.png
2,1630,600,48,Data/piece.png
2,864,400,48,Data/piece.png
2,480,400,48,Data/piece.png
