id,話者,分岐,文章
0,0,0,…
0,0,0,星の王様に、もっと立派になれって言われちゃった…
0,0,0,なんか僕にだけ当たり強くないか？
0,0,0,はぁ、どうやったらきれいなお星さまになれるんだろう？
0,0,0,…
0,0,0,とりあえず、お空に帰らなきゃ
0,0,0,あのキラキラしているのは何だろう？
1,0,0,キラキラを集めると、力が湧いてくる！
1,0,0,気がする！
1,0,0,もっと集めたら立派なお星さまになれるかな？
2,0,0,このキラキラは、本当に僕の力になっているみたい
2,0,0,もう少し…
2,0,0,もう少し集めたら、きっと王様も認めてくれるはず！
3,0,0,王様、もどりました
3,1,0,おお、帰ってきたか
3,1,0,…
3,1,0,集めた星のかけらは %d 個か…
3,1,1,素晴らしい！エクセレントじゃ！！
3,0,1,！！！
3,0,1,やったー！！！！！
3,1,1,…中身はまだまだ幼いようじゃな
3,1,1,まったく、お前にはわしのようになってもらわんと困るというのに…
3,1,1,世代交代もまだまだ先になりそうじゃな
3,0,1,どういうことですか？
3,1,1,コホン、まあ時が来たら話すわい
3,1,1,疲れているだろう、今日はゆっくり休みなさい
3,0,1,王様が優しくてうれしい！ありがとうございます！
3,1,2,うむ、前よりもきれいに輝いておるぞ
3,0,2,！！
3,0,2,やったー！！！！！
3,1,2,はっはっは、幼いのう
3,1,2,まぁ、これからも修行が必要じゃな
3,0,2,??
3,1,2,疲れているだろう、今日はゆっくり休みなさい
3,0,2,王様が優しくてうれしい！ありがとうございます！
3,1,3,よく無事で帰ってきてくれた、頑張ったのう
3,0,3,ありがとうございます！
3,1,3,これからも修行を続ければ、いずれ立派な星になれるぞ
3,0,3,本当ですか？
3,1,3,うむ、素質はあるからな
3,0,3,??
3,1,3,疲れているだろう、少し休んだらまた修行じゃ！
3,0,3,はーい
3,1,4,よく無事で帰ってきてくれた、頑張ったのう
3,0,4,ありがとうございます！
3,1,4,先は長いが、これからも修行を続ければいずれ立派な星になれるぞ
3,0,4,本当ですか？
3,1,4,うむうむ
3,1,4,疲れているだろう、少し休んだらまた修行じゃ！
3,0,4,はーい
